date,lineitem,quantity,price,discounts,nettotal,purchasenumber,dayssincelastpurch,quantity364,price364,discounts364,netTotal364,quantity28,price28,discounts28,netTotal28,quantity7,price7,discounts7,netTotal7,engagement,posts
2/1/2018,Aubergine and Chickpea Vindaloo,10,4,0,32,19.14285714,43125.71429,2,4,0,7,10,4,0,33,0,0,0,0,0,0
2/1/2018,Beef and Apple Burgers,28,13,0,367,2.785714286,57288.14286,14,15,1,190,34,15,2,457,0,0,0,0,0,0
2/1/2018,Beef and Broccoli,13,7,0,92,1.384615385,84632.53846,8,7,1,46,12,14,0,172,0,0,0,0,0,0
2/1/2018,Beef and Broccoli Stir Fry,8,10,0,77,2.875,62518,9,10,1,85,9,10,0,90,0,0,0,0,0,0
2/1/2018,Beef and Squash Kabob,18,7,1,149,1.777777778,72299.55556,34,7,1,269,35,7,1,275,0,0,0,0,0,0
2/1/2018,Chicken and Onion Kabob,31,10,0,341,7.115384615,53992.57692,33,10,1,344,45,10,0,488,0,0,0,0,0,0
2/1/2018,Chutney,12,2,0,26,7.083333333,41752.33333,10,1,0,12,16,2,0,50,0,0,0,0,0,0
2/1/2018,Coconut and Beef Vindaloo,10,4,0,35,23.16666667,17080,3,4,0,10,10,4,0,35,0,0,0,0,0,0
2/1/2018,Fountain Drink,28,2,0,56,3,55644.38889,14,2,0,28,40,2,0,79,0,0,0,0,0,0
2/1/2018,Lamb and Veggie Kabob,8,8,1,75,3.375,37561.125,7,8,1,56,12,8,0,113,0,0,0,0,0,0
2/1/2018,Lamb Chops,5,11,2,47,1.4,80280.8,7,5,1,31,10,14,1,124,0,0,0,0,0,0
2/1/2018,Naan,13,2,0,30,3.461538462,61688.76923,13,2,0,21,12,2,0,36,0,0,0,0,0,0
2/1/2018,Rice,8,2,0,24,2.5,50076.25,11,2,0,20,13,2,0,36,0,0,0,0,0,0
2/1/2018,Salmon and Wheat Bran Salad,67,12,0,767,3.791044776,52330.79104,35,10,1,327,54,17,0,883,0,0,0,0,0,0
2/1/2018,Yogurt,22,3,0,71,3.15,55104.5,13,3,1,42,22,3,0,70,0,0,0,0,0,0
3/1/2018,Aubergine and Chickpea Vindaloo,4,4,0,13,7.666666667,66685.33333,12,4,0,42,12,4,0,42,5,4,0,18,0,0
3/1/2018,Beef and Apple Burgers,23,10,1,211,4.434782609,43596.86957,15,16,1,216,31,13,1,363,26,13,1,322,0,0
3/1/2018,Beef and Broccoli,10,11,0,105,4.5,50085,16,6,0,101,17,13,0,212,18,10,2,156,0,0
3/1/2018,Beef and Broccoli Stir Fry,5,10,0,50,1.4,80120.6,6,10,0,60,12,10,2,101,12,10,0,120,0,0
3/1/2018,Beef and Squash Kabob,21,7,1,156,1.55,70062.2,20,7,1,156,29,7,0,250,46,7,0,406,0,0
3/1/2018,Chicken and Onion Kabob,48,10,0,540,2.955555556,55620.24444,45,10,1,459,39,10,1,412,57,10,2,558,0,0
3/1/2018,Chutney,6,2,0,14,6.166666667,66685.5,21,2,0,44,18,2,0,48,12,2,2,34,0,0
3/1/2018,Coconut and Beef Vindaloo,8,4,0,28,1,99999,2,4,0,7,10,4,0,35,14,4,0,49,0,0
3/1/2018,Fountain Drink,33,2,0,65,6,42930.09524,30,2,0,57,58,2,0,109,36,2,0,66,0,0
3/1/2018,Lamb and Veggie Kabob,3,8,0,28,5.333333333,33393,10,8,2,73,7,8,0,65,10,8,0,98,0,0
3/1/2018,Lamb Chops,9,8,0,72,1.777777778,88889.77778,11,8,0,83,12,12,0,142,12,13,3,123,0,0
3/1/2018,Naan,14,2,0,30,3.416666667,58453.16667,12,2,0,26,9,2,0,20,11,2,0,22,0,0
3/1/2018,Rice,8,2,0,16,1.5,75023.5,6,2,0,12,25,2,0,64,9,2,0,30,0,0
3/1/2018,Salmon and Wheat Bran Salad,73,12,1,840,4.583333333,52859.51389,83,11,0,886,89,15,1,1259,66,14,3,759,0,0
3/1/2018,Yogurt,26,3,0,85,2,69685.30435,17,3,0,70,40,3,0,159,43,3,1,137,0,0
4/1/2018,Aubergine and Chickpea Vindaloo,6,4,0,21,2.2,60111.4,6,4,0,21,2,4,0,7,6,4,0,21,0,0
4/1/2018,Beef and Apple Burgers,29,13,0,358,3.068965517,62113.62069,16,23,0,373,28,13,2,311,29,15,1,416,0,0
4/1/2018,Beef and Broccoli,14,15,0,207,5.285714286,21559.07143,9,10,0,91,17,11,0,176,18,8,0,147,0,0
4/1/2018,Beef and Broccoli Stir Fry,15,10,0,147,1.714285714,71579.07143,7,10,0,70,9,10,0,90,8,10,0,80,0,0
4/1/2018,Beef and Squash Kabob,30,7,0,258,2,62185.34483,24,7,0,210,31,7,1,229,31,7,0,272,0,0
4/1/2018,Chicken and Onion Kabob,37,10,0,414,3.193548387,42106.45161,42,10,1,444,56,10,1,580,42,10,0,468,0,0
4/1/2018,Chutney,14,2,0,40,3.692307692,69246.92308,10,2,0,48,13,2,0,37,16,2,0,38,0,0
4/1/2018,Coconut and Beef Vindaloo,7,4,0,24,2.4,40186.2,5,4,0,18,6,4,1,18,4,4,0,14,0,0
4/1/2018,Fountain Drink,22,2,0,43,5.769230769,30808.38462,41,2,0,79,43,2,0,78,50,2,0,98,0,0
4/1/2018,Lamb and Veggie Kabob,12,8,1,104,2.272727273,72767.81818,9,8,0,83,7,8,1,56,12,8,1,108,0,0
4/1/2018,Lamb Chops,13,9,0,112,4.615384615,38531.07692,11,6,1,53,11,9,0,97,9,18,1,158,0,0
4/1/2018,Naan,18,2,0,48,4.294117647,53001.05882,17,2,0,56,14,2,0,28,17,2,0,52,0,0
4/1/2018,Rice,10,2,0,28,4.6,20127.6,7,2,0,20,13,2,0,30,20,2,0,52,0,0
4/1/2018,Salmon and Wheat Bran Salad,75,13,0,968,3.405405405,44732.31081,51,15,0,751,75,11,1,815,100,13,0,1310,0,0
4/1/2018,Yogurt,24,3,0,92,2.625,50126.33333,21,3,0,63,31,3,0,100,39,3,0,156,0,0
5/1/2018,Aubergine and Chickpea Vindaloo,10,4,0,35,2.857142857,71450.14286,8,4,1,23,7,4,0,24,11,4,0,35,0,0
5/1/2018,Beef and Apple Burgers,33,13,1,388,3.212121212,48560.78788,19,13,3,202,51,11,1,533,35,12,0,416,0,0
5/1/2018,Beef and Broccoli,25,9,0,214,2.24,64098.92,15,22,0,335,28,9,0,263,25,9,0,227,0,0
5/1/2018,Beef and Broccoli Stir Fry,25,10,0,240,3.208333333,50102.08333,7,10,0,72,24,10,0,230,15,10,0,150,0,0
5/1/2018,Beef and Squash Kabob,40,7,1,322,1.722222222,61229.94444,27,7,0,232,40,7,0,344,38,7,0,336,0,0
5/1/2018,Chicken and Onion Kabob,69,10,1,740,3.287878788,53084.89394,67,9,1,661,68,9,0,722,28,10,0,309,0,0
5/1/2018,Chutney,18,2,0,64,4.357142857,42971.92857,22,2,1,65,11,2,0,32,16,2,0,50,0,0
5/1/2018,Coconut and Beef Vindaloo,11,4,0,38,6.888888889,11218.44444,11,4,1,31,13,4,0,46,16,4,1,49,0,0
5/1/2018,Fountain Drink,58,2,0,108,2.452380952,62007.45238,40,2,0,80,34,2,0,68,70,2,0,137,0,0
5/1/2018,Lamb and Veggie Kabob,17,8,1,153,5.6875,31427.6875,11,8,2,78,4,8,0,39,11,8,2,79,0,0
5/1/2018,Lamb Chops,16,13,0,210,3,62566.375,16,10,2,134,21,9,0,179,20,10,0,193,0,0
5/1/2018,Naan,33,2,0,78,2.419354839,71044,14,2,1,41,26,2,0,68,23,2,0,62,0,0
5/1/2018,Rice,23,2,0,52,2.095238095,57265.71429,20,2,0,54,25,2,0,66,18,2,0,60,0,0
5/1/2018,Salmon and Wheat Bran Salad,102,12,1,1185,3.921568627,48151.39216,89,13,2,1004,126,13,0,1537,117,13,0,1529,0,0
5/1/2018,Yogurt,43,3,0,157,2,65092.25,35,3,0,168,50,3,0,185,49,3,0,205,0,0
6/1/2018,Aubergine and Chickpea Vindaloo,10,4,0,35,1.125,87541.625,18,4,0,61,6,4,0,21,9,4,2,18,0,0
